0, 5, 56, 224 
0, 10, 56, 224 
0, 15, 56, 224 
0, 20, 56, 224 
0, 25, 56, 224 
0, 33, 56, 224 
0, 48, 56, 224 
0, 53, 56, 224 
0, 69, 56, 224 
0, 76, 56, 224 
0, 81, 56, 224 
0, 86, 56, 224 
0, 94, 56, 224 
0, 99, 56, 224 
1, 5, 56, 224 
1, 14, 56, 224 
1, 19, 56, 224 
1, 28, 56, 224 
1, 33, 56, 224 
1, 42, 56, 224 
1, 49, 56, 224 
1, 54, 56, 224 
1, 59, 56, 224 
1, 64, 56, 224 
1, 70, 56, 224 
1, 75, 56, 224 
1, 98, 56, 224 
2, 5, 56, 224 
2, 10, 56, 224 
2, 15, 56, 224 
2, 23, 56, 224 
2, 30, 56, 224 
2, 39, 56, 224 
2, 51, 56, 224 
2, 56, 56, 224 
2, 70, 56, 224 
2, 79, 56, 224 
2, 84, 56, 224 
2, 89, 56, 224 
3, 5, 56, 224 
3, 18, 56, 224 
3, 23, 56, 224 
3, 28, 56, 224 
3, 33, 56, 224 
3, 40, 56, 224 
3, 46, 56, 224 
3, 59, 56, 224 
3, 72, 56, 224 
3, 77, 56, 224 
3, 82, 56, 224 
3, 87, 56, 224 
3, 96, 56, 224 
4, 5, 56, 224 
4, 10, 56, 224 
4, 17, 56, 224 
4, 22, 56, 224 
4, 27, 56, 224 
4, 35, 56, 224 
4, 42, 56, 224 
4, 47, 56, 224 
4, 64, 56, 224 
4, 73, 56, 224 
4, 78, 56, 224 
4, 87, 56, 224 
4, 92, 56, 224 
4, 97, 56, 224 
5, 5, 56, 224 
5, 10, 56, 224 
5, 20, 56, 224 
5, 25, 56, 224 
5, 30, 56, 224 
5, 38, 56, 224 
5, 43, 56, 224 
5, 50, 56, 224 
5, 64, 56, 224 
5, 82, 56, 224 
5, 87, 56, 224 
5, 92, 56, 224 
5, 97, 56, 224 
