acc,loss
0.084, 2.301217800851214
0.0975, 2.74598419766804
0.0985, 3.1824701274627376
0.098, 3.5000947005230096
0.1875, 5.060867900113633
0.176, 2.7400331182584394
0.134, 2.686067946544184
0.195, 2.445163034317264
0.2395, 2.6580640583049386
0.084, 2.301217800851214
0.0975, 2.9568026923208572
0.243, 5.302754955294009
0.319, 3.2535823006654065
