acc, loss, temp
0.05922614890347814, 2.3143865462488535, 10.930260181427002 
0.25646039949713645, 1.7981551957574065, 18.10102415084839 
0.6194999301578433, 0.9642852318158539, 13.803036212921143 
0.7537365553848303, 0.6330963334561853, 14.360823392868042 
0.797737114122084, 0.5307771938700426, 14.23158049583435 
0.8086324905713088, 0.49249164614848523, 17.07542133331299 
0.8682776924151417, 0.3693475611025464, 15.245509147644043 
0.9126973040927504, 0.26589261611943477, 13.240878343582153 
0.9279228942589747, 0.2280924050136378, 13.323563814163208 
0.9308562648414583, 0.21105670278965669, 13.407902240753174 
0.9350467942450063, 0.2021619475860502, 17.16574764251709 
0.05922614890347814, 2.3143865462488535, 7.521302700042725 
0.2521301857801369, 1.873168411835171, 14.489291429519653 
0.5672579969269451, 1.1579216418646885, 10.445092916488647 
0.635284257577874, 0.980696867952157, 9.87427568435669 
0.6804022908227406, 0.8473931833369788, 12.38436484336853 
0.7319458024863807, 0.6951970188525005, 13.508279800415039 
0.7496857102947339, 0.645948103845975, 10.233978033065796 
0.7512222377427015, 0.6401486867201919, 8.969513177871704 
0.7607207710574102, 0.6273382014315384, 8.976932287216187 
0.8091912278251152, 0.5320476794806573, 9.644288539886475 
0.8093309121385669, 0.5306216654981106, 14.695179462432861 
0.05922614890347814, 2.3143865462488535, 7.6941258907318115 
0.05922614890347814, 2.3143865462488535, 7.537555694580078 
0.05922614890347814, 2.3143865462488535, 9.498345375061035 
0.05922614890347814, 2.3143865462488535, 9.631734609603882 
0.05922614890347814, 2.3143865462488535, 8.832251071929932 
